login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
DefinitelyTyped,DefinitelyTyped,2012-10-05T16:39:45Z,48465,646,TypeScript,True,False,other
kean,PulsePro,2020-02-16T21:00:04Z,482,42,Swift,True,True,
typescript-cheatsheets,react,2018-06-02T04:08:16Z,45325,392,JavaScript,False,False,mit
realm,jazzy,2014-06-06T05:52:11Z,7347,161,Ruby,True,True,mit
danger,danger,2015-09-29T05:54:39Z,5449,52,Ruby,True,False,mit
johnno1962,InjectionIII,2017-11-04T21:31:08Z,4042,39,Objective-C,True,True,mit
realm,jazzy-integration-specs,2015-01-16T20:43:40Z,10,8,HTML,True,True,
jest-community,vscode-jest,2016-10-09T13:06:02Z,2832,23,TypeScript,True,True,mit
ashfurrow,peerlab.community,2017-01-07T15:51:38Z,43,8,HTML,True,False,mit
react-native-community,cli,2018-09-25T21:15:26Z,2370,46,TypeScript,True,True,mit
ReactiveX,RxSwift,2015-04-07T21:25:17Z,24361,542,Swift,True,True,mit
SimenB,jest,2016-12-03T13:18:04Z,2,2,TypeScript,False,False,mit
orta,vscode-twoslash-queries,2022-06-07T12:47:07Z,423,5,TypeScript,True,True,mit
orta,redwood,2021-06-09T11:30:44Z,0,1,TypeScript,True,True,mit
orta,typescript-web-extension,2020-07-20T17:12:31Z,21,4,JavaScript,True,True,
orta,orta.github.com,2010-12-27T18:55:42Z,12,4,JavaScript,True,False,
orta,redwood-vite-api,2024-08-17T14:43:20Z,3,1,TypeScript,True,True,
ashfurrow,Nimble-Snapshots,2014-08-07T14:16:58Z,317,11,Swift,False,False,mit
jesseweed,seti-ui,2014-06-01T07:27:43Z,943,22,Less,True,True,mit
patriksimek,vm2,2014-01-14T11:31:39Z,3866,48,JavaScript,True,True,mit
orta,awesome-typescript-derived-languages,2021-10-07T07:55:06Z,85,7,,True,True,cc0-1.0
tc39,proposal-type-annotations,2020-12-18T13:49:01Z,4248,221,JavaScript,False,False,
ds300,patch-package,2017-05-08T20:31:20Z,10410,41,TypeScript,True,True,mit
OSS-Docs-Tools,code-owner-self-merge,2019-09-29T02:58:01Z,53,3,JavaScript,False,False,mit
orta,graphql-api-goals,2022-12-14T08:15:15Z,9,3,,True,True,mpl-2.0
orta,light-phone-note-to-self,2024-05-07T16:26:04Z,1,0,Ruby,True,True,mit
orta,TypeScript-Website,2020-08-18T21:35:40Z,4,2,TypeScript,True,False,cc-by-4.0
ts-why,tswhy,2022-03-18T09:24:20Z,60,4,TypeScript,False,False,
dblock,ios-snapshot-test-case-expecta,2014-01-14T19:52:54Z,94,8,Objective-C,True,True,mit
orta,relay-redwood-app-example,2021-11-28T16:30:57Z,27,3,TypeScript,True,True,mit
graphql,graphql-playground,2017-01-25T13:19:29Z,8766,82,TypeScript,True,True,mit
dbgrandi,claide-plugins,2016-06-11T15:47:30Z,0,3,Ruby,True,True,mit
orta,relay,2017-06-24T15:29:14Z,1,3,JavaScript,True,True,mit
gillchristian,tsplay.dev,2020-03-30T19:40:30Z,67,4,TypeScript,True,True,mit
orta,cocoapods-fix-react-native,2018-04-01T14:58:51Z,243,15,Ruby,False,False,mit
orta,redwood-codegen-api-types,2022-11-28T06:29:03Z,11,3,TypeScript,True,True,mit
jest-community,jest-snapshots-svg,2017-05-18T10:35:54Z,220,7,TypeScript,True,True,mit
daveverwer,NSManchester,2009-07-31T14:47:32Z,1,3,Ruby,True,False,
orta,TypeScript-TSServer-Plugin-Template,2021-09-27T19:12:40Z,53,2,TypeScript,True,True,
robb,Cartography,2014-06-17T21:54:48Z,7338,187,Swift,True,True,other
joarwilk,flowgen,2017-01-03T10:16:01Z,658,11,TypeScript,True,True,other
RxSwiftCommunity,Action,2015-11-17T23:42:31Z,875,32,Swift,True,True,mit
sandersn,typescript-history,2021-08-12T16:43:18Z,4,5,HTML,True,True,cc-by-4.0
orta,cocoapods-keys,2014-08-16T19:19:31Z,1553,34,Ruby,True,True,mit
orta,vscode-playdate,2020-05-22T10:34:01Z,54,3,TypeScript,True,True,
orta,react-json-view,2023-08-23T11:37:18Z,0,1,JavaScript,True,True,mit
orta,playground-dt-review,2021-05-14T20:09:12Z,4,2,TypeScript,True,True,
orta,react.dev,2023-06-23T10:17:10Z,0,1,TypeScript,True,False,cc-by-4.0
orta,playground-transformer-timeline,2020-05-30T18:19:09Z,19,3,TypeScript,False,False,
orta,prisma-relay-cursor-connection,2021-12-05T17:34:24Z,0,1,TypeScript,True,True,
orta,nightly-profile-updater,2020-06-25T15:35:36Z,25,3,HTML,True,True,
orta,iframe-tester,2023-07-17T11:04:51Z,6,2,Vue,True,True,
orta,ts2322_workshop,2023-07-02T17:10:55Z,3,2,TypeScript,True,True,other
orta,TypeScript,2017-12-16T22:53:41Z,5,4,TypeScript,True,True,apache-2.0
orta,TypeScript-Compiler-Notes,2023-06-19T16:54:22Z,0,1,JavaScript,True,True,cc-by-4.0
orta,xd,2022-01-31T09:15:43Z,0,1,Python,True,True,mit
orta,template-typescript-node-package,2023-05-21T11:21:13Z,1,1,TypeScript,True,False,mit
orta,relay-devtools,2023-05-18T05:50:37Z,0,1,JavaScript,True,False,mit
orta,playground-slides,2020-02-01T18:35:22Z,39,3,CSS,True,True,
shibapm,Rocket,2018-11-30T15:01:10Z,110,6,Swift,True,True,mit
orta,grats,2023-03-24T07:04:26Z,0,1,TypeScript,True,False,
Nirma,Attributed,2016-12-08T01:45:56Z,754,14,Swift,True,True,mit
shibapm,Komondor,2018-11-24T03:50:45Z,552,8,Swift,True,True,mit
orta,orta,2020-07-09T15:43:16Z,28,3,JavaScript,True,True,cc0-1.0
orta,envelop,2022-06-27T09:10:57Z,0,1,TypeScript,True,False,mit
orta,prisma-mock,2023-02-04T15:24:38Z,0,1,TypeScript,True,True,mit
orta,eslint-plugin-expect-type,2023-02-19T07:16:45Z,0,1,TypeScript,True,False,apache-2.0
orta,league-spartan,2023-02-07T12:45:20Z,0,1,,True,False,ofl-1.1
orta,ar_dispatch,2014-12-04T11:49:43Z,25,6,Objective-C,True,True,mit
orta,chucked,2010-08-05T07:32:24Z,3,2,Objective-C,True,True,
dbgrandi,danger-prose,2016-05-29T15:29:07Z,26,4,Ruby,True,False,mit
orta,civet-playground-monaco,2023-01-08T12:12:43Z,5,2,Shell,True,True,mit
one-sup,one-sup,2020-07-02T09:17:41Z,6,3,JavaScript,True,True,mit
orta,ts-playgrounds-github,2019-06-15T04:12:08Z,10,2,Objective-C,True,True,mit
orta,twoslash-verify,2020-06-30T12:00:05Z,0,3,JavaScript,True,True,mit
orta,devdiv-onboarding,2020-05-19T17:53:55Z,1,3,HTML,True,True,
orta,typescript-scanner-visualiser,2019-07-25T16:58:56Z,1,2,TypeScript,True,True,mit
orta,actions,2018-10-01T23:01:30Z,9,4,TypeScript,True,True,
orta,ts-fourslash-create,2019-10-15T22:59:49Z,5,3,TypeScript,True,True,mit
orta,TypeScript-Website-Localizations,2021-01-25T19:26:33Z,0,2,TypeScript,True,True,cc-by-4.0
orta,notes,2021-02-19T08:42:26Z,13,3,CSS,True,True,mit
orta,playground-collaborate,2020-05-17T02:11:33Z,24,3,TypeScript,True,True,
orta,apple-unified-logging-node,2020-04-16T12:54:09Z,4,3,C++,True,True,mit
acao,graphiql-1-poc-monaco,2019-06-25T18:28:00Z,2,3,TypeScript,True,True,
orta,danger-plugin-yarn,2017-05-19T17:12:53Z,33,3,TypeScript,True,True,mit
orta,issue-closer-tester,2022-10-16T20:22:37Z,3,2,,True,True,
orta,artsy.github.com,2012-05-11T20:31:23Z,2,2,JavaScript,True,True,
orta,Heuristics-for-vendoring-MIT-code,2022-08-11T12:19:36Z,59,3,,True,True,cc0-1.0
johnno1962,injectionforxcode,2012-05-28T15:37:09Z,6556,153,Objective-C,True,True,mit
orta,markdown-ast,2022-07-31T07:05:44Z,0,1,JavaScript,True,True,mit
orta,language-tools,2020-03-08T23:39:40Z,8,3,TypeScript,True,True,mit
orta,typescript-repros,2019-07-15T17:54:34Z,1,2,TypeScript,True,True,mit
orta,arkana,2022-07-04T05:48:32Z,0,1,Ruby,True,True,bsd-2-clause
orta,react-bootstrap-typeahead,2022-07-04T07:51:14Z,0,1,TypeScript,True,False,mit
orta,twoslash,2022-07-01T12:21:20Z,1,1,TypeScript,True,False,mit
orta,playground-clippy,2020-08-03T21:42:29Z,17,3,JavaScript,True,True,
orta,playground-example-web-worker,2020-05-31T00:22:44Z,2,3,JavaScript,True,True,
orta,playground-code-show-flow,2020-04-17T04:07:13Z,10,3,TypeScript,True,True,
orta,playground-plugin-tsquery,2020-02-22T19:57:37Z,12,3,TypeScript,True,True,
orta,redux-toolkit,2022-06-24T10:45:46Z,0,1,TypeScript,True,False,mit
orta,redwood-jwt-2phase-auth,2022-04-08T15:24:58Z,8,3,TypeScript,True,True,
orta,Uno.Wasm.Bootstrap,2022-06-06T08:57:55Z,0,1,WebAssembly,True,True,other
orta,react-native-gifted-chat,2022-05-30T12:28:07Z,0,1,TypeScript,True,False,mit
orta,postgres,2022-04-26T11:40:10Z,0,1,TypeScript,True,True,mit
orta,react-chessboard,2022-04-22T11:05:35Z,1,1,JavaScript,True,True,
orta,nakama,2022-04-20T07:58:56Z,0,1,Go,True,False,apache-2.0
orta,TypeScript-Twoslash-Repro-Action,2022-04-14T08:30:31Z,0,1,TypeScript,True,True,mit
orta,react-spring,2022-03-30T09:07:01Z,0,1,TypeScript,True,False,mit
orta,tswhy,2022-03-18T19:21:52Z,0,1,TypeScript,True,True,
orta,danger-plugin-spellcheck,2017-07-27T22:03:14Z,26,4,TypeScript,True,True,mit
orta,graphiql,2019-05-10T01:02:20Z,3,3,JavaScript,True,False,mit
orta,demouse,2022-03-20T09:52:55Z,5,2,TypeScript,True,True,
orta,eos-clipboard-manager,2021-06-19T13:30:13Z,5,2,TypeScript,True,True,
orta,json,2022-03-15T14:27:08Z,0,1,Rust,True,False,apache-2.0
orta,tc39-minisite-example,2022-03-10T19:16:00Z,3,2,JavaScript,True,True,mit
orta,styled-rn,2022-02-26T15:57:14Z,0,1,TypeScript,True,True,mit
orta,WibbleQuest,2011-07-19T23:52:32Z,46,5,Objective-C,True,True,
orta,vscode-graphql,2018-06-15T14:21:39Z,0,3,TypeScript,True,True,mit
orta,TypeScript-Make-Monaco-Builds,2022-02-07T13:55:53Z,0,1,JavaScript,True,False,mit
orta,nativebase-docs,2022-02-06T17:40:02Z,0,1,TypeScript,True,True,
orta,react-native,2015-03-31T20:13:58Z,2,3,JavaScript,True,True,mit
orta,redwood-expo-side,2022-01-28T12:07:17Z,9,2,TypeScript,True,True,
orta,memfs-or-file-map-to-github-branch,2018-09-03T18:08:50Z,3,3,JavaScript,True,True,mit
orta,bio,2021-05-20T11:15:31Z,5,2,,True,True,cc0-1.0
orta,cca-sa-tracker,2022-01-23T13:49:04Z,2,2,TypeScript,True,True,
orta,make-monaco-builds,2019-09-17T19:23:41Z,4,3,JavaScript,True,True,mit
orta,tsc,2021-05-07T11:07:09Z,0,1,JavaScript,True,True,
